CustomerID,CustomerName,Age,Gender,SeniorCitizen,MaritalStatus,Dependents,City,State,Country,JoinDate,TenureMonths,ContractType,Plan,InternetService,TechSupport,OnlineSecurity,DeviceProtection,StreamingTV,StreamingMovies,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,NumSupportTickets,SatisfactionScore,AvgMonthlyGB,LatePayments,Churn
100030,Joshua Anderson,73,Female,Yes,Single,Yes,Port Taraville,NC,USA,01/07/2024,12,Two year,Standard,None,No,Yes,Yes,No,No,No,Bank Transfer,110.2,1350.08,1,2,163,2,No
100031,William Lee,76,,Yes,Single,Yes,North Johnathan,LA,USA,2025-01-19,67,Two year,premium,Fiber,No,Yes,No,No,Yes,Yes,Credit Card,35.34,2461.59,4,5,601,3,No
100032,Erika Stephens,56,Female,No,Married,Yes,North Renee,MI,USA,25/07/2023,50,Two year,Standard,DSL,Yes,Yes,No,No,Yes,Yes,Bank Transfer,46.24,2372.16,7,4,88,4,Yes
100033,Robin Black,61,Female,No,Divorced,No,New Edwin,NY,USA,2025-12-10,30,Month-to-month,premium,Cable,Yes,Yes,No,Yes,No,Yes,Bank Transfer,65.31,1984.83,7,2,276,4,No
100034,Clayton Smith,71,Male,Yes,Married,Yes, EAST DONALD ,RI,USA,2020-09-01,14,Month-to-month,Premium,DSL,No,Yes,Yes,Yes,No,No,Electronic Check,72.1,1007.5,1,1,174,5,Yes
100035,Erika Holmes,57,Female,No,Married,No,Muellerville,FM,USA,2024-11-27,25,Month-to-month,basic,Fiber,Yes,No,Yes,No,No,Yes,Bank Transfer,86.98,2223.22,6,3,792,4,No
100036,Donald Barton,75,Male,No,Married,No,Hoffmanland,NV,USA,2023-12-02,56,Two year,Basic,None,Yes,No,Yes,No,Yes,No,Credit Card,29.68,1703.1,0,3,204,1,No
100037,Lisa Gonzalez,51,Female,No,Married,Yes, SHAUNSIDE ,AS,USA,07-05-2022,44,Two year,Standard,Fiber,Yes,Yes,Yes,No,No,No,Electronic Check,50.87,,6,4,140,7,No
100038,Melissa Mcdowell,37,,No,Married,No,Sandraborough,MP,USA,04/06/2023,24,Two year,basic,Fiber,Yes,No,Yes,Yes,No,Yes,Credit Card,101.24,2510.53,7,5,562,5,No
100039,James Stewart,28,Male,Yes,Married,No,South Charles,TN,USA,03-29-2023,21,One year,Standard,DSL,Yes,Yes,No,No,Yes,Yes,Electronic Check,108.93,2405.7,4,3,585,4,Yes
100040,Ricardo Ayers,49,Male,Yes,Married,Yes,Douglasberg,NH,USA,16/05/2022,48,Month-to-month,Standard,None,No,Yes,Yes,Yes,No,Yes,Credit Card,95.12,,0,4,241,7,Yes
100041,Jennifer Freeman,42,Male,No,Divorced,Yes, EAST JASMINE ,NY,USA,15/11/2021,48,Two year,Basic,Cable,Yes,Yes,No,Yes,Yes,No,Electronic Check,108.3,,2,1,213,4,Yes
100042,Howard Davis,59,Female,No,Single,No,Andrewside,NH,USA,2022-12-24,5,Month-to-month,Premium,Fiber,No,No,Yes,No,Yes,No,Bank Transfer,94.56,579.89,10,5,98,2,No
100043,gary hanson,71,Male,No,Divorced,No, NORTH TRACIBURY ,FM,USA,14/03/2023,51,One year,Premium,Fiber,No,Yes,No,No,Yes,Yes,Mailed Check,50.76,2707.0,2,4,121,1,No
100044,Andrew Maxwell,19,Male,Yes,Divorced,No,Katelynchester,PR,USA,2021-03-08,52,Two year,Premium,Cable,Yes,Yes,No,No,Yes,Yes,Credit Card,108.87,5700.38,1,4,507,3,Yes
100045,Deanna Hernandez,58,Male,No,Single,Yes,Gravesland,KY,USA,01-09-2026,39,Month-to-month,Basic,None,Yes,No,Yes,Yes,Yes,No,Bank Transfer,104.54,,6,3,131,2,No
100046,Jessica Jones,22,Female,Yes,Married,No,Lake Christopherview,CO,USA,11-25-2020,32,Two year,Premium,Cable,No,No,Yes,No,No,No,Mailed Check,102.49,3278.57,8,4,188,0,No
100047,Dennis Martinez,76,Male,No,Married,Yes,West Virginiachester,PW,USA,2024-03-16,1,Month-to-month,Premium,Cable,No,No,Yes,No,Yes,Yes,Bank Transfer,118.68,158.47,1,3,742,8,No
100048,Joseph Allen,35,Male,Yes,Divorced,Yes,East Joseburgh,ID,USA,2022-03-01,11,Month-to-month,Basic,None,No,Yes,Yes,Yes,No,No,Bank Transfer,96.45,1165.18,5,5,286,7,No
100049,Kiara Harris,51,,No,Married,Yes,Porterburgh,KY,USA,2026-02-24,19,Month-to-month,standard,None,Yes,No,No,No,Yes,No,Credit Card,72.71,1489.48,8,1,656,5,Yes
100050,David Smith,50,Female,No,Married,No,New Thomas,NV,USA,21/08/2022,58,Two year,Premium,DSL,No,No,Yes,No,Yes,Yes,Credit Card,74.54,,4,5,264,4,No
100051,Jessica Simpson,73,Female,No,Single,Yes,Wallerport,UT,USA,11/03/2021,41,Month-to-month,Premium,Fiber,Yes,Yes,Yes,No,No,Yes,Electronic Check,25.17,1007.04,8,2,428,4,Yes
100052,Craig Macias,19,Male,Yes,Married,Yes, SOUTH VERONICA ,AR,USA,2021-11-05,18,Two year,Basic,DSL,No,No,No,Yes,Yes,No,Mailed Check,59.79,,9,5,756,7,Yes
100053,Mario Hobbs,69,,Yes,Single,Yes,Martinland,TN,USA,2025-07-30,32,Month-to-month,Basic,DSL,Yes,No,Yes,No,Yes,No,Credit Card,110.83,3523.16,4,1,746,7,No
100054,Meagan Campbell,28,Female,Yes,Single,Yes,Lake Kelly,NH,USA,09/08/2025,69,Month-to-month,Basic,Fiber,Yes,No,No,Yes,No,No,Electronic Check,60.64,4219.66,4,2,92,8,No
100055,Aaron Diaz,38,,Yes,Married,No,Teresaside,MD,USA,09-01-2021,2,Month-to-month,basic,None,No,No,Yes,Yes,No,Yes,Electronic Check,49.74,104.9,3,4,642,1,No
100056,Emily Kelly,38,Female,Yes,Divorced,Yes,West Patrickfort,KY,USA,2022-01-08,22,Month-to-month,Basic,DSL,Yes,Yes,Yes,Yes,No,Yes,Credit Card,28.13,605.64,6,1,257,3,No
100057,Jonathan Smith,29,,No,Single,Yes, LISABERG ,MO,USA,2023-07-29,27,Two year,Basic,DSL,No,No,No,No,No,Yes,Electronic Check,28.22,874.33,4,3,54,5,No
100058,Elijah Soto,21,Female,Yes,Married,Yes,New Susanberg,TN,USA,29/01/2024,42,One year,Premium,Fiber,Yes,Yes,No,Yes,No,Yes,Bank Transfer,72.86,3157.83,4,1,9,5,No
100059,Linda Duran,81,Female,No,Divorced,Yes,Hernandezberg,AZ,USA,30/11/2025,63,Month-to-month,basic,DSL,No,Yes,Yes,Yes,No,Yes,Electronic Check,71.69,4605.99,5,1,415,6,Yes
100060,Kayla Patterson,51,Female,Yes,Married,Yes, NEW KAREN ,OK,USA,04/07/2025,12,Month-to-month,standard,Fiber,No,No,Yes,No,No,Yes,Mailed Check,109.4,,7,3,598,3,Yes
100061,Samantha Silva,42,Female,No,Divorced,Yes,North Anthony,DC,USA,07-26-2025,17,Month-to-month,Standard,DSL,No,No,Yes,Yes,No,Yes,Electronic Check,68.89,1273.9,1,2,678,1,Yes
100062,Jamie Hayes,56,Female,No,Single,Yes,Lake Andrewside,TX,USA,05-18-2024,26,Month-to-month,Standard,Cable,Yes,No,No,Yes,Yes,No,Mailed Check,39.34,1015.09,3,5,652,4,No
100063,Jesus Jones,49,Female,No,Single,Yes,Lake Aliciafort,KS,USA,01-09-2022,60,Month-to-month,basic,Fiber,No,No,No,No,Yes,No,Bank Transfer,38.47,,6,2,261,6,No
100064,Cynthia Avila,41,,Yes,Married,No, LAKE DEBRA ,NH,USA,2025-05-30,62,Month-to-month,standard,Cable,Yes,Yes,Yes,No,Yes,No,Bank Transfer,26.87,1764.72,7,5,21,5,No
100065,John Sutton,41,Female,Yes,Divorced,No, NEW CYNTHIABOROUGH ,CA,USA,07-09-2023,67,Month-to-month,Standard,Cable,No,No,No,Yes,Yes,Yes,Mailed Check,63.98,,6,3,599,4,Yes
100066,matthew schwartz,46,Female,No,Single,Yes,North Timothy,NM,USA,2024-02-26,14,Month-to-month,Basic,DSL,No,Yes,Yes,No,No,No,Electronic Check,53.83,783.69,8,2,485,5,No
100067,Melissa Lowe,41,Female,Yes,Divorced,No,Jennaport,NH,USA,03/03/2022,30,Month-to-month,Standard,Cable,No,No,No,No,Yes,No,Bank Transfer,91.9,,4,4,63,1,No
100068,Wendy Dunn,19,,Yes,Divorced,No, TIFFANYFORT ,AK,USA,09/05/2023,42,Two year,Basic,Fiber,Yes,Yes,Yes,No,No,Yes,Bank Transfer,75.41,3188.99,6,5,176,1,No
100069,Jonathon Vang,85,Male,No,Divorced,Yes, PAULBOROUGH ,CA,USA,04-17-2022,71,Month-to-month,premium,Cable,No,Yes,Yes,No,No,Yes,Mailed Check,104.69,7432.6,7,2,722,7,No
100070,Joseph Cisneros,38,Female,No,Divorced,No, NEW LORI ,NY,USA,01-17-2024,32,One year,Standard,None,No,No,No,Yes,Yes,No,Credit Card,40.64,1360.42,0,5,51,5,No
100071,Jacob Jimenez,45,Female,Yes,Married,Yes,Longburgh,AL,USA,03-26-2022,13,One year,Premium,Cable,No,Yes,No,No,No,No,Electronic Check,71.0,1006.58,8,1,301,4,Yes
100072,Jennifer Acosta,82,Female,Yes,Divorced,No,Coopermouth,DE,USA,2026-04-04,46,One year,Standard,DSL,No,No,Yes,Yes,Yes,No,Mailed Check,63.35,2959.66,8,5,55,6,No
100073,Paul Combs,25,Female,Yes,Divorced,Yes,East Jenniferport,KS,USA,2025-08-06,39,Month-to-month,Basic,None,Yes,Yes,Yes,Yes,No,Yes,Credit Card,25.59,996.5,5,2,321,8,No
100074,Zachary Lawrence,24,,Yes,Single,No, SARAVIEW ,PR,USA,10-15-2022,34,Two year,standard,None,No,Yes,Yes,No,Yes,No,Mailed Check,42.55,,8,1,89,7,Yes
100075,ruben mitchell,33,Male,Yes,Single,Yes,East Tasha,NE,USA,04/11/2020,28,Month-to-month,basic,Cable,Yes,No,Yes,Yes,No,Yes,Credit Card,84.56,2401.73,4,5,731,7,Yes
100076,James Blanchard,22,,Yes,Single,Yes,Port Kathleenfurt,PW,USA,16/08/2023,59,One year,premium,Cable,Yes,No,Yes,No,No,No,Mailed Check,113.57,,10,2,153,1,No
100077,christina miller,75,Female,No,Married,No, HAYESBERG ,SD,USA,2025-10-23,47,Two year,Premium,Cable,Yes,Yes,No,No,Yes,No,Mailed Check,40.58,,10,4,621,3,No
100078,Dr. Joshua Jackson,38,Male,No,Single,Yes,Cooperport,KS,USA,09/10/2025,58,Two year,Standard,None,No,Yes,No,No,Yes,Yes,Electronic Check,90.41,5262.01,9,1,698,6,Yes
100079,Debbie Douglas,67,,Yes,Divorced,No,Timothyfurt,DE,USA,2024-12-27,60,Month-to-month,Premium,None,No,No,No,Yes,Yes,Yes,Bank Transfer,44.63,,1,2,722,4,No
100080,Daniel Bullock,37,Male,Yes,Married,No,Piercemouth,PW,USA,2021-07-23,47,One year,Premium,None,Yes,Yes,No,Yes,No,No,Credit Card,78.62,3725.51,1,1,214,7,No
100081,jessica kelley,75,Male,No,Single,No,North Gregg,OH,USA,2022-07-21,28,Month-to-month,Standard,None,Yes,Yes,Yes,Yes,No,No,Mailed Check,112.92,3173.73,1,5,660,6,Yes
100082,David Hudson,29,Female,Yes,Married,Yes,Lake Monicafurt,MT,USA,06/02/2021,16,Month-to-month,Premium,DSL,Yes,Yes,No,No,Yes,Yes,Credit Card,116.13,1866.66,4,5,731,7,No
100083,Devin Goodwin,56,Female,Yes,Married,No,Ramirezstad,DC,USA,11/01/2025,8,One year,Basic,None,Yes,No,No,No,Yes,No,Bank Transfer,38.76,393.32,2,1,484,3,No
100084,Rachel Allison,65,Male,No,Single,No,West Pennyfurt,MO,USA,2024-09-04,5,Two year,Basic,Fiber,No,No,No,Yes,No,Yes,Electronic Check,113.13,568.73,2,3,231,0,No
100085,Eric Olsen,37,Female,No,Married,Yes,East Antoniofort,OR,USA,2024-06-06,24,Month-to-month,Premium,Cable,No,No,Yes,No,No,Yes,Electronic Check,67.88,1732.52,7,4,121,2,No
100086,Timothy Hebert,79,Female,Yes,Married,Yes,Comptonbury,WY,USA,30/06/2023,66,One year,Basic,Cable,Yes,Yes,Yes,No,No,No,Bank Transfer,84.95,5694.84,0,3,152,0,No
100087,Joseph Fleming,85,Female,Yes,Married,No,Millerton,AL,USA,2021-03-18,57,One year,Premium,DSL,No,Yes,Yes,Yes,Yes,Yes,Bank Transfer,57.39,,9,1,94,7,Yes
100088,Thomas Brewer,42,,Yes,Single,Yes, SYDNEYVIEW ,NC,USA,04-01-2025,36,Two year,Basic,None,Yes,No,No,No,No,Yes,Credit Card,44.57,1666.38,6,4,141,4,No
100089,Ashley Jones,65,Male,No,Divorced,No,South Jose,WY,USA,05-16-2024,32,Month-to-month,Basic,Fiber,No,Yes,No,No,Yes,No,Credit Card,78.5,2629.86,7,4,530,0,Yes
100090,Eric Murray,41,Male,Yes,Married,No,Deannabury,NJ,USA,02-29-2024,68,Month-to-month,Premium,Fiber,Yes,Yes,No,Yes,No,Yes,Mailed Check,37.77,2574.89,1,3,101,2,Yes
100091,Alyssa Jenkins,53,Male,Yes,Single,No,Brianborough,NM,USA,2023-09-18,6,Two year,Standard,DSL,Yes,Yes,No,No,Yes,Yes,Mailed Check,36.69,264.18,6,5,622,8,No
100092,Angela Perez,69,Male,No,Divorced,No,Buckleybury,NM,USA,11-12-2025,5,One year,Standard,None,Yes,No,Yes,No,Yes,No,Credit Card,117.2,,5,1,548,2,No
100093,Jason Fleming,35,Female,No,Married,Yes,North Laura,WA,USA,2020-10-04,9,Month-to-month,Standard,Cable,No,Yes,Yes,No,Yes,Yes,Mailed Check,66.14,640.98,3,1,299,1,Yes
100094,Jon Gonzalez,83,Female,Yes,Married,Yes,East Steven,KS,USA,17/08/2025,40,Month-to-month,Standard,DSL,No,No,No,No,Yes,Yes,Electronic Check,86.51,3448.46,7,5,716,3,No
100095,Trevor Simpson,56,Female,No,Married,Yes,East Todd,PW,USA,2025-02-12,50,One year,Basic,DSL,Yes,No,No,Yes,No,Yes,Bank Transfer,77.11,3880.52,5,5,338,7,No
100096,Brianna Long,20,Male,Yes,Divorced,No,North Terri,FL,USA,19/07/2024,35,Two year,Standard,Fiber,No,No,No,Yes,Yes,Yes,Mailed Check,108.45,3798.17,5,3,148,3,Yes
100097,Cathy Cole,78,Female,Yes,Married,Yes,Jessicaland,GA,USA,2023-01-18,36,One year,Premium,Fiber,No,No,Yes,No,No,Yes,Mailed Check,34.03,1323.52,7,4,299,5,No
100098,timothy francis,59,Male,No,Married,No,West Elizabethfurt,MP,USA,13/07/2022,38,Month-to-month,standard,Cable,Yes,No,No,Yes,Yes,No,Electronic Check,62.12,2413.86,9,2,338,3,No
100099,Christopher Smith,56,Female,No,Divorced,No,Christopherchester,FM,USA,19/10/2022,55,One year,Basic,Cable,Yes,No,No,Yes,Yes,Yes,Credit Card,27.43,,6,3,517,6,No
100100,Christine Kelly,69,Female,No,Divorced,Yes,Lynnchester,CO,USA,2021-04-19,72,One year,Premium,Cable,No,Yes,No,Yes,Yes,No,Electronic Check,39.65,2853.03,8,4,651,2,No
100101,Jake Calhoun,70,,Yes,Divorced,Yes,West Michael,MH,USA,06/11/2020,68,Two year,Standard,Fiber,No,Yes,Yes,No,Yes,No,Mailed Check,102.54,6973.89,1,5,20,0,No
100102,Danielle Garrett,83,,Yes,Married,Yes, WILLIAMSTON ,NH,USA,2023-05-28,26,Month-to-month,basic,Fiber,Yes,Yes,Yes,Yes,No,No,Mailed Check,72.3,1932.79,0,1,705,5,Yes
100103,Dawn Burgess,30,,No,Single,No,Michaelmouth,RI,USA,12-06-2020,19,One year,Premium,Fiber,Yes,Yes,No,Yes,No,Yes,Bank Transfer,47.63,916.29,3,2,50,2,Yes
100104,melissa glass,71,,No,Single,Yes,Adamland,AK,USA,10-25-2020,23,One year,standard,DSL,No,No,No,No,Yes,Yes,Credit Card,25.59,688.62,2,2,371,6,No
100105,Mike Owens,32,,No,Married,No,Clarkechester,GU,USA,07-06-2025,24,Month-to-month,Basic,Fiber,No,No,Yes,No,Yes,No,Electronic Check,117.3,,5,2,451,0,No
100106,Catherine Lang,34,Male,Yes,Married,Yes,Mackenzieberg,PA,USA,07-08-2023,36,One year,Premium,None,Yes,Yes,No,No,Yes,No,Mailed Check,27.4,1077.13,10,5,218,4,Yes
100107,Julia Bowers,51,,No,Divorced,Yes,New Jamesburgh,IA,USA,21/12/2021,61,Two year,Premium,DSL,Yes,Yes,Yes,No,No,Yes,Bank Transfer,44.42,2808.38,4,1,404,1,No
100108,Karen Stephens,64,Female,Yes,Single,No,South Nicole,CA,USA,2023-01-01,23,Month-to-month,Basic,Cable,Yes,No,No,No,No,No,Bank Transfer,55.5,1345.91,4,2,35,5,Yes
100109,brent jimenez,69,Female,Yes,Single,No,Thompsonberg,MT,USA,2022-02-22,45,One year,Standard,DSL,Yes,No,Yes,Yes,No,Yes,Electronic Check,27.4,1308.57,2,4,761,0,No
100110,Cynthia Ryan,47,Female,No,Married,No,Port Maryport,KY,USA,2023-04-28,71,Month-to-month,Standard,Cable,Yes,Yes,Yes,Yes,Yes,No,Bank Transfer,84.8,6132.03,5,1,432,6,No
100111,Oscar Gonzalez,74,Female,No,Divorced,Yes, EAST JOHN ,FL,USA,12-16-2023,29,Two year,Standard,DSL,No,Yes,No,Yes,Yes,No,Bank Transfer,75.1,,8,2,657,3,No
100112,Chelsea Brown,70,Male,Yes,Divorced,No,Victoriahaven,NC,USA,2022-03-30,70,Month-to-month,Standard,None,No,Yes,Yes,Yes,No,Yes,Electronic Check,48.72,3389.31,4,2,729,2,No
100113,martha ritter,39,Male,No,Married,Yes, NORTH THOMASBURY ,MP,USA,2021-12-11,31,Two year,Standard,Cable,Yes,No,No,Yes,Yes,Yes,Electronic Check,84.79,,4,2,118,4,No
100114,shawn hall,55,Male,Yes,Single,Yes,East Carolineshire,ID,USA,31/03/2023,58,One year,basic,Fiber,No,No,Yes,No,No,No,Bank Transfer,40.33,,8,3,13,5,No
100115,Sean Cole,50,,Yes,Single,Yes,Kimberlytown,CT,USA,2026-02-19,12,One year,Premium,DSL,No,No,Yes,Yes,Yes,No,Electronic Check,52.17,688.04,6,2,667,5,No
100116,Hannah Johnson,50,Male,Yes,Single,Yes, DONALDBOROUGH ,KS,USA,05-19-2024,41,Two year,basic,None,Yes,Yes,No,No,No,Yes,Electronic Check,60.01,,9,5,646,1,No
100117,Suzanne Briggs,69,,Yes,Married,No, ROBERTSTAD ,HI,USA,2020-10-13,19,Month-to-month,Premium,Cable,Yes,Yes,No,Yes,No,Yes,Credit Card,46.61,876.34,8,4,351,1,No
100118,Andre Simpson,39,Female,No,Single,No,Brownville,WY,USA,04-13-2024,57,Two year,Basic,Cable,Yes,No,Yes,No,No,No,Bank Transfer,88.28,5125.87,6,5,639,1,No
100119,Margaret Davis,71,Female,No,Divorced,Yes,South Heather,MT,USA,05/12/2022,8,One year,premium,Fiber,Yes,Yes,No,Yes,Yes,No,Mailed Check,89.26,,5,5,251,7,No
100120,Jennifer Williams,32,Male,No,Divorced,Yes,Roberttown,VI,USA,2026-06-27,51,Two year,Standard,Cable,No,Yes,No,Yes,Yes,Yes,Mailed Check,35.85,1825.43,10,1,455,2,No
100121,Maria Myers,83,Male,No,Divorced,No,Harristown,NE,USA,02-26-2025,65,Month-to-month,Premium,DSL,No,Yes,Yes,No,Yes,No,Bank Transfer,73.19,4853.13,0,3,47,0,No
100122,Robert Sullivan,29,Male,Yes,Divorced,No,Stevenburgh,DC,USA,2025-12-19,28,One year,Standard,Cable,Yes,No,Yes,Yes,No,No,Mailed Check,53.49,1573.83,0,5,366,1,No
100123,Margaret Browning,49,Female,No,Single,No,New Cindystad,WA,USA,2020-08-23,46,Two year,Premium,None,Yes,Yes,No,Yes,Yes,No,Bank Transfer,56.1,2641.06,2,5,301,6,Yes
100124,Douglas Boyd,52,Female,Yes,Single,No, NORTH PATRICKBOROUGH ,ME,USA,2023-08-01,19,One year,premium,None,Yes,Yes,Yes,Yes,No,No,Bank Transfer,108.16,2105.81,7,4,239,8,No
100125,Vanessa Webb,23,Male,Yes,Married,No,New Sarafurt,CO,USA,25/04/2021,10,Two year,Standard,None,No,No,No,Yes,No,No,Electronic Check,56.28,565.25,3,1,259,7,No
100126,Samantha Martin,52,Male,No,Married,Yes,New Richard,PR,USA,12-25-2025,6,Month-to-month,Premium,Fiber,Yes,No,Yes,No,No,Yes,Bank Transfer,38.85,303.75,10,1,316,5,No
100127,Keith Williams,69,,Yes,Divorced,No, SOUTH MICHAEL ,FL,USA,09-24-2021,47,One year,Premium,None,No,Yes,Yes,No,Yes,Yes,Bank Transfer,106.05,,0,4,419,7,No
100128,Stephanie Williams,36,Female,No,Married,No,Lake Maryville,MS,USA,2022-01-14,51,Month-to-month,Premium,Fiber,Yes,No,No,No,No,No,Credit Card,98.37,5126.29,7,3,184,4,No
100129,Lori Torres,20,Male,Yes,Married,No,Parkerbury,NE,USA,2024-02-26,33,Two year,Premium,Cable,Yes,Yes,Yes,Yes,Yes,Yes,Credit Card,27.19,,1,5,354,2,Yes
